cohort_id,covariate_id,mean,sd,database_id
23,4177234212,-0.0057,NA,CMSDESynPUF1k
23,373724212,-0.0057,NA,CMSDESynPUF1k
23,4113116212,-0.0057,NA,CMSDESynPUF1k
23,261528212,-0.0057,NA,CMSDESynPUF1k
23,4169598212,0.0193,0.1391,CMSDESynPUF1k
23,79768212,0.025,0.1582,CMSDESynPUF1k
23,78200212,-0.0057,NA,CMSDESynPUF1k
23,4079931212,-0.0057,NA,CMSDESynPUF1k
23,4050747212,0.0114,0.1067,CMSDESynPUF1k
23,4181338212,-0.0057,NA,CMSDESynPUF1k
23,4131451212,-0.0057,NA,CMSDESynPUF1k
23,4054617212,-0.0057,NA,CMSDESynPUF1k
23,80484212,-0.0057,NA,CMSDESynPUF1k
23,133569212,-0.0057,NA,CMSDESynPUF1k
23,4032936212,-0.0057,NA,CMSDESynPUF1k
23,4030055212,-0.0057,NA,CMSDESynPUF1k
23,195851212,-0.0057,NA,CMSDESynPUF1k
23,315832212,-0.0057,NA,CMSDESynPUF1k
23,374375212,0.008,0.0892,CMSDESynPUF1k
22,40492037212,-0.1923,NA,CMSDESynPUF1k
22,4131612212,-0.1923,NA,CMSDESynPUF1k
22,4094856212,-0.1923,NA,CMSDESynPUF1k
22,196044212,-0.1923,NA,CMSDESynPUF1k
22,40481841212,0.7308,0.8711,CMSDESynPUF1k
22,4267432212,0.5385,0.7478,CMSDESynPUF1k
22,444406212,0.5769,0.774,CMSDESynPUF1k
22,765132212,0.5769,0.774,CMSDESynPUF1k
22,312327212,0.8462,0.9374,CMSDESynPUF1k
22,321588212,1,1.019,CMSDESynPUF1k
22,4027255212,0.8462,0.9374,CMSDESynPUF1k
22,44783163212,-0.1923,NA,CMSDESynPUF1k
22,4344497212,0.3462,0.5996,CMSDESynPUF1k
22,4083787212,-0.1923,NA,CMSDESynPUF1k
23,317585212,0.0136,0.1168,CMSDESynPUF1k
23,42709843212,0.0091,0.0954,CMSDESynPUF1k
23,132834212,-0.0057,NA,CMSDESynPUF1k
23,72715212,-0.0057,NA,CMSDESynPUF1k
23,4008556212,-0.0057,NA,CMSDESynPUF1k
23,4143397212,-0.0057,NA,CMSDESynPUF1k
23,441284212,0.0193,0.1391,CMSDESynPUF1k
23,4176945212,-0.0057,NA,CMSDESynPUF1k
23,4108234212,0.0068,0.0826,CMSDESynPUF1k
23,195847212,-0.0057,NA,CMSDESynPUF1k
23,439279212,0.0091,0.0954,CMSDESynPUF1k
23,134116212,-0.0057,NA,CMSDESynPUF1k
23,4043001212,-0.0057,NA,CMSDESynPUF1k
23,200970212,-0.0057,NA,CMSDESynPUF1k
23,4318939212,0.0159,0.1262,CMSDESynPUF1k
23,139099212,0.008,0.0892,CMSDESynPUF1k
23,4043679212,-0.0057,NA,CMSDESynPUF1k
23,4053598212,-0.0057,NA,CMSDESynPUF1k
23,4257686212,-0.0057,NA,CMSDESynPUF1k
23,4152927212,-0.0057,NA,CMSDESynPUF1k
23,443545212,-0.0057,NA,CMSDESynPUF1k
23,444428212,-0.0057,NA,CMSDESynPUF1k
23,40484167212,-0.0057,NA,CMSDESynPUF1k
23,4106283212,-0.0057,NA,CMSDESynPUF1k
23,4225257212,0.008,0.0892,CMSDESynPUF1k
23,138519212,0.0193,0.1391,CMSDESynPUF1k
23,4217894212,-0.0057,NA,CMSDESynPUF1k
23,199872212,-0.0057,NA,CMSDESynPUF1k
23,438727212,-0.0057,NA,CMSDESynPUF1k
23,37311188212,-0.0057,NA,CMSDESynPUF1k
23,4253153212,-0.0057,NA,CMSDESynPUF1k
23,198700212,-0.0057,NA,CMSDESynPUF1k
23,436096212,0.0136,0.1168,CMSDESynPUF1k
23,4129405212,-0.0057,NA,CMSDESynPUF1k
23,4214408212,0.0102,0.1012,CMSDESynPUF1k
23,372905212,-0.0057,NA,CMSDESynPUF1k
23,4199963212,-0.0057,NA,CMSDESynPUF1k
23,380394212,-0.0057,NA,CMSDESynPUF1k
23,435785212,-0.0057,NA,CMSDESynPUF1k
23,314962212,-0.0057,NA,CMSDESynPUF1k
23,378414212,0.0068,0.0826,CMSDESynPUF1k
23,381282212,-0.0057,NA,CMSDESynPUF1k
23,201313212,0.0114,0.1067,CMSDESynPUF1k
23,4179462212,-0.0057,NA,CMSDESynPUF1k
23,42872722212,-0.0057,NA,CMSDESynPUF1k
23,4282096212,-0.0057,NA,CMSDESynPUF1k
23,4115411212,-0.0057,NA,CMSDESynPUF1k
23,134380212,-0.0057,NA,CMSDESynPUF1k
23,317003212,-0.0057,NA,CMSDESynPUF1k
23,4085552212,-0.0057,NA,CMSDESynPUF1k
23,37110367212,-0.0057,NA,CMSDESynPUF1k
23,196455212,-0.0057,NA,CMSDESynPUF1k
23,4310691212,-0.0057,NA,CMSDESynPUF1k
23,4337456212,-0.0057,NA,CMSDESynPUF1k
23,4104310212,0.0102,0.1012,CMSDESynPUF1k
23,80045212,-0.0057,NA,CMSDESynPUF1k
23,4180911212,-0.0057,NA,CMSDESynPUF1k
23,4341084212,-0.0057,NA,CMSDESynPUF1k
23,4232071212,-0.0057,NA,CMSDESynPUF1k
23,376105212,-0.0057,NA,CMSDESynPUF1k
23,4207240212,-0.0057,NA,CMSDESynPUF1k
22,72418212,-0.1923,NA,CMSDESynPUF1k
22,4247120212,-0.1923,NA,CMSDESynPUF1k
22,195002212,-0.1923,NA,CMSDESynPUF1k
22,432303212,-0.1923,NA,CMSDESynPUF1k
22,437264212,-0.1923,NA,CMSDESynPUF1k
23,4199417212,-0.0057,NA,CMSDESynPUF1k
23,4049957212,-0.0057,NA,CMSDESynPUF1k
23,4009309212,-0.0057,NA,CMSDESynPUF1k
23,443232212,-0.0057,NA,CMSDESynPUF1k
23,138388212,0.0148,0.1216,CMSDESynPUF1k
23,40488825212,-0.0057,NA,CMSDESynPUF1k
23,434337212,-0.0057,NA,CMSDESynPUF1k
23,4189294212,0.0102,0.1012,CMSDESynPUF1k
23,42599719212,-0.0057,NA,CMSDESynPUF1k
23,440104212,-0.0057,NA,CMSDESynPUF1k
23,442132212,-0.0057,NA,CMSDESynPUF1k
23,4195665212,-0.0057,NA,CMSDESynPUF1k
